Date,P(High),P(Med),P(Low)
2006-03-13,0.272727,0.363636,0.272727
2006-03-20,0.333333,0.333333,0.333333
2006-03-27,0.307692,0.307692,0.307692
2006-04-03,0.285714,0.357143,0.285714
2006-04-10,0.333333,0.333333,0.333333
2006-04-18,0.312500,0.312500,0.312500
2006-04-25,0.294118,0.352941,0.294118
2006-05-02,0.333333,0.333333,0.333333
2006-05-09,0.315789,0.315789,0.315790
2006-05-16,0.300000,0.350000,0.300000
2006-05-23,0.333333,0.333333,0.333333
2006-05-31,0.333333,0.333333,0.333333
2006-06-07,0.333333,0.333333,0.333333
2006-06-14,0.333333,0.333333,0.333333
2006-06-21,0.333333,0.333333,0.333333
2006-06-28,0.333333,0.333333,0.333333
2006-07-10,0.333333,0.333333,0.333333
2006-07-17,0.333333,0.333333,0.333333
2006-07-24,0.333333,0.333333,0.333333
2006-07-31,0.333333,0.333333,0.333333
2006-08-07,0.333333,0.333333,0.333333
2006-08-14,0.333333,0.333333,0.333333
2006-08-21,0.333333,0.333333,0.333333
2006-08-28,0.333333,0.333333,0.333333
2006-09-05,0.333333,0.333333,0.333333
2006-09-12,0.333333,0.333333,0.333333
2006-09-19,0.333333,0.333333,0.333333
2006-09-26,0.333333,0.333333,0.333333
2006-10-03,0.333333,0.333333,0.333333
2006-10-10,0.333333,0.333333,0.333333
2006-10-17,0.333333,0.333333,0.333333
2006-10-24,0.333333,0.333333,0.333333
2006-10-31,0.333333,0.333333,0.333333
2006-11-07,0.333333,0.333333,0.333333
2006-11-14,0.333333,0.333333,0.333333
2006-11-21,0.333333,0.333333,0.333333
2006-12-04,0.333333,0.333333,0.333333
2006-12-11,0.333333,0.333333,0.333333
2006-12-18,0.333333,0.333333,0.333333
2006-12-26,0.333333,0.333333,0.333333
2007-01-04,0.333333,0.333333,0.333333
2007-01-11,0.333333,0.333333,0.333334
2007-01-19,0.333333,0.333333,0.333334
2007-01-26,0.333333,0.333333,0.333333
2007-02-02,0.333333,0.333333,0.333349
2007-02-09,0.333333,0.333333,0.333349
2007-02-16,0.333333,0.333333,0.333333
2007-02-26,0.333333,0.333333,0.333387
2007-03-05,0.333333,0.333333,0.333387
2007-03-12,0.333333,0.333333,0.333333
2007-03-19,0.333333,0.333333,0.333510
2007-03-26,0.333333,0.333333,0.333510
2007-04-02,0.333333,0.333333,0.333333
2007-04-10,0.333333,0.333333,0.333803
2007-04-17,0.333333,0.333333,0.333803
2007-04-24,0.333333,0.333333,0.333333
2007-05-01,0.333333,0.333333,0.334410
2007-05-08,0.333333,0.333333,0.334410
2007-05-15,0.333333,0.333333,0.333333
2007-05-22,0.333333,0.333333,0.336253
2007-05-30,0.333333,0.333333,0.336253
2007-06-06,0.333333,0.333333,0.333333
2007-06-13,0.333333,0.333333,0.341216
2007-06-20,0.333333,0.333333,0.341216
2007-06-27,0.333333,0.333333,0.333333
2007-07-05,0.333333,0.333333,0.349685
2007-07-12,0.333333,0.333333,0.349685
2007-07-19,0.333333,0.333333,0.333333
2007-07-26,0.333334,0.333333,0.359545
2007-08-02,0.333334,0.333333,0.359545
2007-08-09,0.333333,0.333333,0.333333
2007-08-16,0.333333,0.333333,0.373147
2007-08-23,0.333333,0.333333,0.373147
2007-08-30,0.333333,0.333333,0.333333
2007-09-07,0.333333,0.333333,0.379090
2007-09-14,0.333333,0.333333,0.379090
2007-09-21,0.333333,0.333333,0.333333
2007-09-28,0.333333,0.333333,0.379717
2007-10-05,0.333333,0.333333,0.379717
2007-10-12,0.333333,0.333333,0.333333
2007-10-19,0.333333,0.333333,0.378024
2007-10-26,0.333333,0.333333,0.378024
2007-11-02,0.333333,0.333333,0.333333
2007-11-09,0.333333,0.333333,0.373069
2007-11-16,0.333333,0.333333,0.373069
2007-11-26,0.333333,0.333333,0.333333
2007-12-03,0.333333,0.333333,0.364585
2007-12-10,0.333333,0.333333,0.364585
2007-12-17,0.333333,0.333333,0.333333
2007-12-24,0.333333,0.333333,0.354686
2008-01-02,0.333333,0.333333,0.354686
2008-01-09,0.333333,0.333333,0.333333
2008-01-16,0.333333,0.333333,0.340962
2008-01-24,0.333333,0.333333,0.340962
2008-01-31,0.333333,0.333333,0.333333
2008-02-07,0.333333,0.333333,0.334725
2008-02-14,0.333333,0.333333,0.334725
2008-02-22,0.333333,0.333333,0.333333
2008-02-29,0.333333,0.333333,0.333491
2008-03-07,0.333333,0.333333,0.333491
2008-03-14,0.333333,0.333333,0.333333
2008-03-24,0.333333,0.333333,0.333342
2008-03-31,0.333333,0.333333,0.333342
2008-04-07,0.333333,0.333333,0.333333
2008-04-14,0.333333,0.333333,0.333333
2008-04-21,0.333333,0.333333,0.333333
2008-04-28,0.333333,0.333333,0.333333
2008-05-05,0.333333,0.333333,0.333333
2008-05-12,0.333333,0.333333,0.333333
2008-05-19,0.333333,0.333333,0.333333
2008-05-27,0.333333,0.333333,0.333334
2008-06-03,0.333333,0.333333,0.333334
2008-06-10,0.333333,0.333333,0.333333
2008-06-17,0.333333,0.333333,0.333334
2008-06-24,0.333333,0.333333,0.333334
2008-07-01,0.333333,0.333333,0.333333
2008-07-09,0.333333,0.333349,0.333333
2008-07-16,0.333333,0.333333,0.333334
2008-07-23,0.333333,0.333333,0.333333
2008-07-30,0.333333,0.339609,0.333333
2008-08-06,0.333333,0.333333,0.333334
2008-08-13,0.333333,0.333333,0.333333
2008-08-20,0.333333,0.380337,0.333333
2008-08-27,0.333333,0.333333,0.333334
2008-09-04,0.333333,0.333333,0.333333
2008-09-11,0.333333,0.380951,0.333333
2008-09-18,0.333333,0.333333,0.333334
2008-09-25,0.333333,0.333333,0.333333
2008-10-02,0.333333,0.380952,0.333333
2008-10-09,0.333333,0.333333,0.333333
2008-10-16,0.333333,0.333333,0.333333
2008-10-23,0.333333,0.380950,0.333333
2008-10-30,0.333333,0.333331,0.333333
2008-11-06,0.333333,0.333333,0.333333
2008-11-13,0.333333,0.380897,0.333333
2008-11-20,0.333333,0.333278,0.333333
2008-11-28,0.333333,0.333333,0.333333
2008-12-05,0.333333,0.380239,0.333333
2008-12-12,0.333333,0.332636,0.333333
2008-12-19,0.333333,0.333333,0.333333
2008-12-29,0.333333,0.368581,0.333334
2009-01-06,0.333333,0.327238,0.333333
2009-01-13,0.333333,0.333333,0.333333
2009-01-21,0.333334,0.316080,0.333334
2009-01-28,0.333334,0.315464,0.333333
2009-02-04,0.333333,0.333333,0.333333
2009-02-11,0.333334,0.298883,0.333333
2009-02-19,0.333334,0.298883,0.333333
2009-02-26,0.333333,0.333333,0.333333
2009-03-05,0.333334,0.290195,0.333321
2009-03-12,0.333334,0.290195,0.333333
2009-03-19,0.333333,0.333333,0.333333
2009-03-26,0.333334,0.286377,0.332844
2009-04-02,0.333334,0.286377,0.333333
2009-04-09,0.333333,0.333333,0.333333
2009-04-17,0.333333,0.285790,0.314932
2009-04-24,0.333333,0.285790,0.333333
2009-05-01,0.333333,0.333333,0.333333
2009-05-08,0.333334,0.286412,0.307414
2009-05-15,0.333334,0.286412,0.333333
2009-05-22,0.333333,0.333333,0.333333
2009-06-01,0.333334,0.291810,0.285715
2009-06-08,0.333334,0.291810,0.333333
2009-06-15,0.333333,0.333333,0.333333
2009-06-22,0.333334,0.303584,0.285714
2009-06-29,0.333334,0.303584,0.333333
2009-07-07,0.333333,0.333333,0.333333
2009-07-14,0.333334,0.320165,0.285716
2009-07-21,0.333334,0.320165,0.333333
2009-07-28,0.333333,0.333333,0.333333
2009-08-04,0.333336,0.328853,0.286188
2009-08-11,0.333336,0.328853,0.333333
2009-08-18,0.333333,0.333333,0.333333
2009-08-25,0.333337,0.332674,0.316230
2009-09-01,0.333337,0.332674,0.333333
2009-09-09,0.333333,0.333333,0.333333
2009-09-16,0.333335,0.333313,0.349870
2009-09-23,0.333335,0.333313,0.333333
2009-09-30,0.333333,0.333333,0.333333
2009-10-07,0.333333,0.333333,0.359234
2009-10-14,0.333333,0.333333,0.333333
2009-10-21,0.333333,0.333333,0.333333
2009-10-28,0.333333,0.333333,0.380952
2009-11-04,0.333333,0.333333,0.333333
2009-11-11,0.333333,0.333333,0.333333
2009-11-18,0.333332,0.333333,0.380952
2009-11-25,0.333332,0.333333,0.333333
2009-12-03,0.333333,0.333333,0.333333
2009-12-10,0.333333,0.333333,0.380951
2009-12-17,0.333333,0.333333,0.333333
2009-12-24,0.333333,0.333333,0.333333
2010-01-04,0.333330,0.333333,0.380491
2010-01-11,0.333330,0.333333,0.333333
2010-01-19,0.333333,0.333333,0.333333
2010-01-26,0.333329,0.333333,0.350926
2010-02-02,0.333329,0.333333,0.333333
2010-02-09,0.333333,0.333333,0.333333
2010-02-17,0.333331,0.333333,0.335198
2010-02-24,0.333331,0.333333,0.333333
2010-03-03,0.333333,0.333333,0.333333
2010-03-10,0.333333,0.333333,0.333352
2010-03-17,0.333333,0.333333,0.333333
2010-03-24,0.333333,0.333333,0.333333
2010-03-31,0.333333,0.333333,0.333333
2010-04-08,0.333333,0.333333,0.333333
2010-04-15,0.333333,0.333333,0.333333
2010-04-22,0.333333,0.333333,0.333333
2010-04-29,0.333333,0.333333,0.333333
2010-05-06,0.333333,0.333333,0.333333
2010-05-13,0.333333,0.333333,0.333333
2010-05-20,0.333333,0.333333,0.333333
2010-05-27,0.333333,0.333333,0.333333
2010-06-04,0.333333,0.333333,0.333333
2010-06-11,0.333333,0.333333,0.333333
2010-06-18,0.333333,0.333333,0.333333
2010-06-25,0.333333,0.333333,0.333333
2010-07-02,0.333333,0.333333,0.333333
2010-07-12,0.333333,0.333333,0.333333
2010-07-19,0.333333,0.333333,0.333333
2010-07-26,0.333333,0.333333,0.333333
2010-08-02,0.333333,0.333333,0.333333
2010-08-09,0.333333,0.333333,0.333333
2010-08-16,0.333333,0.333333,0.333333
2010-08-23,0.333333,0.333333,0.333333
2010-08-30,0.333333,0.333333,0.333333
2010-09-07,0.333333,0.333333,0.333333
2010-09-14,0.333333,0.333333,0.333333
2010-09-21,0.333334,0.333333,0.333333
2010-09-28,0.333334,0.333333,0.333333
2010-10-05,0.333333,0.333333,0.333333
2010-10-12,0.333337,0.333333,0.333333
2010-10-19,0.333337,0.333333,0.333333
2010-10-26,0.333333,0.333333,0.333333
2010-11-02,0.333705,0.333333,0.333333
2010-11-09,0.333705,0.333333,0.333333
2010-11-16,0.333333,0.333333,0.333333
2010-11-23,0.341848,0.333333,0.333333
2010-12-01,0.341848,0.333333,0.333333
2010-12-08,0.333333,0.333333,0.333333
2010-12-15,0.366569,0.333333,0.333333
2010-12-22,0.366569,0.333333,0.333333
2010-12-30,0.333333,0.333333,0.333333
2011-01-06,0.379451,0.333333,0.333333
2011-01-13,0.379451,0.333333,0.333333
2011-01-21,0.333333,0.333333,0.333333
2011-01-28,0.380883,0.333333,0.333333
2011-02-04,0.380883,0.333333,0.333333
2011-02-11,0.333333,0.333333,0.333333
2011-02-18,0.380948,0.333333,0.333333
2011-02-28,0.380948,0.333333,0.333333
2011-03-07,0.333333,0.333333,0.333333
2011-03-14,0.380947,0.333333,0.333333
2011-03-21,0.380947,0.333333,0.333333
2011-03-28,0.333333,0.333333,0.333333
2011-04-04,0.380580,0.333333,0.333333
2011-04-11,0.380580,0.333333,0.333333
2011-04-18,0.333333,0.333333,0.333333
2011-04-26,0.372438,0.333333,0.333333
2011-05-03,0.372438,0.333333,0.333333
2011-05-10,0.333333,0.333333,0.333333
2011-05-17,0.347716,0.333333,0.333333
2011-05-24,0.347716,0.333333,0.333333
2011-06-01,0.333333,0.333333,0.333333
2011-06-08,0.334834,0.333333,0.333333
2011-06-15,0.334834,0.333333,0.333333
2011-06-22,0.333333,0.333333,0.333333
2011-06-29,0.333402,0.333333,0.333333
2011-07-07,0.333402,0.333333,0.333333
2011-07-14,0.333333,0.333333,0.333333
2011-07-21,0.333338,0.333333,0.333333
2011-07-28,0.333338,0.333333,0.333333
2011-08-04,0.333333,0.333333,0.333333
2011-08-11,0.333334,0.333333,0.333333
2011-08-18,0.333334,0.333333,0.333333
2011-08-25,0.333333,0.333333,0.333333
2011-09-01,0.333333,0.333333,0.333333
2011-09-09,0.333333,0.333333,0.333333
2011-09-16,0.333333,0.333333,0.333333
2011-09-23,0.333333,0.333333,0.333333
2011-09-30,0.333333,0.333333,0.333333
2011-10-07,0.333333,0.333333,0.333333
2011-10-14,0.333333,0.333333,0.333333
2011-10-21,0.333333,0.333333,0.333333
2011-10-28,0.333333,0.333333,0.333333
2011-11-04,0.333333,0.333333,0.333333
2011-11-11,0.333333,0.333333,0.333333
2011-11-18,0.333333,0.333333,0.333333
2011-11-28,0.333333,0.333333,0.333333
2011-12-05,0.333333,0.333333,0.333333
2011-12-12,0.333333,0.333333,0.333333
2011-12-19,0.333333,0.333333,0.333331
2011-12-27,0.333333,0.333333,0.333331
2012-01-04,0.333333,0.333333,0.333333
2012-01-11,0.333333,0.333333,0.333310
2012-01-19,0.333333,0.333333,0.333310
2012-01-26,0.333333,0.333333,0.333333
2012-02-02,0.333329,0.333333,0.333121
2012-02-09,0.333334,0.333333,0.333121
2012-02-16,0.333333,0.333333,0.333333
2012-02-24,0.333307,0.333333,0.331954
2012-03-02,0.333334,0.333333,0.331954
2012-03-09,0.333333,0.333333,0.333333
2012-03-16,0.333179,0.333333,0.324367
2012-03-23,0.333334,0.333333,0.324367
2012-03-30,0.333333,0.333333,0.333333
2012-04-09,0.332551,0.333333,0.296033
2012-04-16,0.333334,0.333333,0.296033
2012-04-23,0.333333,0.333333,0.333333
2012-04-30,0.330370,0.333333,0.286252
2012-05-07,0.333333,0.333333,0.286252
2012-05-14,0.333333,0.333333,0.333333
2012-05-21,0.318959,0.333333,0.285717
2012-05-29,0.333333,0.333333,0.285717
2012-06-05,0.333333,0.333333,0.333333
2012-06-12,0.311525,0.333333,0.285738
2012-06-19,0.333333,0.333333,0.285738
2012-06-26,0.333333,0.333333,0.333333
2012-07-03,0.305145,0.333333,0.285927
2012-07-11,0.333333,0.333333,0.285927
2012-07-18,0.333333,0.333333,0.333333
2012-07-25,0.296165,0.333333,0.287094
2012-08-01,0.333333,0.333333,0.287094
2012-08-08,0.333333,0.333333,0.333333
2012-08-15,0.287500,0.333333,0.294681
2012-08-22,0.333333,0.333333,0.294681
2012-08-29,0.333333,0.333333,0.333333
2012-09-06,0.286635,0.333333,0.323016
2012-09-13,0.333333,0.333333,0.323016
2012-09-20,0.333333,0.333333,0.333333
2012-09-27,0.288686,0.333333,0.332796
2012-10-04,0.333333,0.333333,0.332796
2012-10-11,0.333333,0.333333,0.333333
2012-10-18,0.300090,0.333333,0.333333
2012-10-25,0.333333,0.333333,0.333333
2012-11-05,0.333333,0.333333,0.333333
2012-11-12,0.307523,0.333333,0.333333
2012-11-19,0.333333,0.333333,0.333333
2012-11-27,0.333333,0.333333,0.333333
2012-12-04,0.313907,0.333333,0.333333
2012-12-11,0.333333,0.333333,0.333333
2012-12-18,0.333333,0.333333,0.333333
2012-12-26,0.322910,0.333335,0.333333
2013-01-03,0.333333,0.333335,0.333333
2013-01-10,0.333333,0.333333,0.333333
2013-01-17,0.331702,0.333335,0.333333
2013-01-25,0.333333,0.333335,0.333333
2013-02-01,0.333333,0.333333,0.333333
2013-02-08,0.333195,0.333338,0.333333
2013-02-15,0.333333,0.333338,0.333333
2013-02-25,0.333333,0.333333,0.333333
2013-03-04,0.333325,0.333352,0.333333
2013-03-11,0.333333,0.333352,0.333333
2013-03-18,0.333333,0.333333,0.333333
2013-03-25,0.333332,0.333361,0.333333
2013-04-02,0.333333,0.333361,0.333333
2013-04-09,0.333333,0.333333,0.333333
2013-04-16,0.333333,0.333404,0.333333
2013-04-23,0.333333,0.333404,0.333333
2013-04-30,0.333333,0.333333,0.333333
2013-05-07,0.333333,0.333462,0.333333
2013-05-14,0.333333,0.333462,0.333333
2013-05-21,0.333333,0.333333,0.333333
2013-05-29,0.333333,0.333470,0.333333
2013-06-05,0.333333,0.333470,0.333333
2013-06-12,0.333333,0.333333,0.333333
2013-06-19,0.333333,0.333452,0.333333
2013-06-26,0.333333,0.333452,0.333333
2013-07-03,0.333333,0.333333,0.333333
2013-07-11,0.333333,0.333412,0.333333
2013-07-18,0.333333,0.333412,0.333333
2013-07-25,0.333333,0.333333,0.333333
2013-08-01,0.333333,0.333349,0.333333
2013-08-08,0.333333,0.333349,0.333333
2013-08-15,0.333333,0.333333,0.333333
2013-08-22,0.333333,0.333315,0.333333
2013-08-29,0.333333,0.333315,0.333333
2013-09-06,0.333333,0.333333,0.333333
2013-09-13,0.333333,0.333263,0.333333
2013-09-20,0.333333,0.333263,0.333333
2013-09-27,0.333333,0.333333,0.333333
2013-10-04,0.333333,0.333205,0.333333
2013-10-11,0.333333,0.333205,0.333333
2013-10-18,0.333333,0.333333,0.333333
2013-10-25,0.333333,0.333196,0.333333
2013-11-01,0.333333,0.333196,0.333333
2013-11-08,0.333333,0.333333,0.333333
2013-11-15,0.333333,0.333213,0.333333
2013-11-22,0.333333,0.333213,0.333333
2013-12-02,0.333333,0.333333,0.333333
2013-12-09,0.333333,0.333250,0.333333
2013-12-16,0.333333,0.333250,0.333333
2013-12-23,0.333333,0.333333,0.333333
2013-12-31,0.333333,0.333299,0.333333
2014-01-08,0.333333,0.333299,0.333333
2014-01-15,0.333333,0.333333,0.333333
2014-01-23,0.333333,0.333325,0.333333
2014-01-30,0.333333,0.333325,0.333333
2014-02-06,0.333333,0.333333,0.333333
2014-02-13,0.333333,0.333332,0.333333
2014-02-21,0.333333,0.333332,0.333333
2014-02-28,0.333333,0.333333,0.333333
2014-03-07,0.333333,0.333333,0.333333
2014-03-14,0.333333,0.333333,0.333333
2014-03-21,0.333333,0.333333,0.333333
2014-03-28,0.333333,0.333333,0.333333
2014-04-04,0.333333,0.333333,0.333333
2014-04-11,0.333333,0.333333,0.333333
2014-04-21,0.333333,0.333333,0.333333
2014-04-28,0.333333,0.333333,0.333333
2014-05-05,0.333333,0.333333,0.333333
2014-05-12,0.333333,0.333333,0.333333
2014-05-19,0.333333,0.333333,0.333333
2014-05-27,0.333333,0.333333,0.333333
2014-06-03,0.333333,0.333333,0.333333
2014-06-10,0.333333,0.333333,0.333333
2014-06-17,0.333333,0.333333,0.333333
2014-06-24,0.333333,0.333333,0.333333
2014-07-01,0.333333,0.333333,0.333333
2014-07-09,0.333333,0.333333,0.333333
2014-07-16,0.333333,0.333333,0.333333
2014-07-23,0.333333,0.333333,0.333333
2014-07-30,0.333333,0.333333,0.333333
2014-08-06,0.333333,0.333333,0.333333
2014-08-13,0.333333,0.333333,0.333333
2014-08-20,0.333333,0.333333,0.333333
2014-08-27,0.333333,0.333333,0.333333
2014-09-04,0.333333,0.333333,0.333333
2014-09-11,0.333333,0.333333,0.333333
2014-09-18,0.333333,0.333333,0.333333
2014-09-25,0.333333,0.333333,0.333333
2014-10-02,0.333333,0.333333,0.333333
2014-10-09,0.333333,0.333333,0.333333
2014-10-16,0.333333,0.333333,0.333333
2014-10-23,0.333333,0.333333,0.333333
2014-10-30,0.333333,0.333333,0.333333
2014-11-06,0.333333,0.333333,0.333333
2014-11-13,0.333333,0.333333,0.333333
2014-11-20,0.333333,0.333333,0.333333
2014-11-28,0.333333,0.333333,0.333333
2014-12-05,0.333333,0.333333,0.333333
2014-12-12,0.333333,0.333334,0.333333
2014-12-19,0.333333,0.333334,0.333333
2014-12-29,0.333333,0.333333,0.333333
2015-01-06,0.333333,0.333335,0.333333
2015-01-13,0.333333,0.333335,0.333333
2015-01-21,0.333333,0.333333,0.333333
2015-01-28,0.333333,0.333341,0.333333
2015-02-04,0.333333,0.333341,0.333333
2015-02-11,0.333333,0.333333,0.333333
2015-02-19,0.333333,0.333359,0.333333
2015-02-26,0.333333,0.333359,0.333333
2015-03-05,0.333333,0.333333,0.333333
2015-03-12,0.333333,0.333392,0.333333
2015-03-19,0.333333,0.333392,0.333333
2015-03-26,0.333333,0.333333,0.333333
2015-04-02,0.333333,0.333442,0.333333
2015-04-10,0.333333,0.333442,0.333333
2015-04-17,0.333333,0.333333,0.333333
2015-04-24,0.333333,0.333495,0.333333
2015-05-01,0.333333,0.333495,0.333333
2015-05-08,0.333333,0.333333,0.333333
2015-05-15,0.333333,0.333504,0.333333
2015-05-22,0.333333,0.333504,0.333333
2015-06-01,0.333333,0.333333,0.333333
2015-06-08,0.333333,0.333519,0.333333
2015-06-15,0.333333,0.333519,0.333333
2015-06-22,0.333333,0.333333,0.333333
2015-06-29,0.333333,0.333525,0.333333
2015-07-07,0.333333,0.333525,0.333333
2015-07-14,0.333333,0.333333,0.333333
2015-07-21,0.333333,0.333465,0.333333
2015-07-28,0.333333,0.333465,0.333333
2015-08-04,0.333333,0.333333,0.333333
2015-08-11,0.333333,0.333394,0.333333
2015-08-18,0.333333,0.333394,0.333333
2015-08-25,0.333333,0.333333,0.333333
2015-09-01,0.333333,0.333313,0.333333
2015-09-09,0.333333,0.333313,0.333333
2015-09-16,0.333333,0.333333,0.333333
2015-09-23,0.333333,0.333218,0.333333
2015-09-30,0.333333,0.333218,0.333333
2015-10-07,0.333333,0.333333,0.333333
2015-10-14,0.333333,0.333192,0.333333
2015-10-21,0.333333,0.333192,0.333333
